subj_idx,flashpres,beeppres,response,rt,stimName,type
1.0,2.0,0.0,1.0,1.5470974489999207,F2,u
1.0,2.0,0.0,1.0,0.46012908900002003,F2,u
1.0,3.0,0.0,1.0,1.2171712899998965,F3,u
1.0,2.0,0.0,1.0,0.6875175079999281,F2,u
1.0,3.0,0.0,0.0,1.063845868000044,F3,u
1.0,3.0,0.0,0.0,2.4013386830001764,F3,u
1.0,3.0,0.0,0.0,0.6601924820001841,F3,u
2.0,2.0,0.0,1.0,1.2768605349992868,F2,u
2.0,2.0,0.0,1.0,0.9555562989989994,F2,u
2.0,3.0,0.0,1.0,0.9540225989985629,F3,u
2.0,3.0,0.0,1.0,1.8010198890005995,F3,u
2.0,2.0,0.0,1.0,1.3111240209982498,F2,u
2.0,3.0,0.0,0.0,0.9296378340004594,F3,u
2.0,3.0,0.0,1.0,0.5726019739995536,F3,u
2.0,3.0,0.0,1.0,0.45378123200134723,F3,u
2.0,3.0,0.0,0.0,0.5583585280000989,F3,u
2.0,2.0,0.0,0.0,1.3078519270020479,F2,u
2.0,3.0,0.0,1.0,3.102956588998495,F3,u
2.0,2.0,0.0,1.0,0.7454424819989072,F2,u
2.0,2.0,0.0,1.0,0.4719149570009904,F2,u
2.0,2.0,0.0,1.0,0.8722000739981013,F2,u
2.0,2.0,0.0,1.0,0.7352123189994018,F2,u
2.0,2.0,0.0,1.0,0.861652880001202,F2,u
2.0,2.0,0.0,1.0,0.627941903003375,F2,u
2.0,3.0,0.0,0.0,0.5068286469977465,F3,u
2.0,2.0,0.0,1.0,0.5188848590005364,F2,u
2.0,3.0,0.0,0.0,0.6380255899966869,F3,u
2.0,2.0,0.0,0.0,1.3645897569986118,F2,u
2.0,2.0,0.0,1.0,1.1237258269975428,F2,u
2.0,3.0,0.0,0.0,0.6286373179973452,F3,u
2.0,3.0,0.0,1.0,1.7502660190002644,F3,u
2.0,2.0,0.0,1.0,0.6581007139975554,F2,u
2.0,2.0,0.0,1.0,0.6465393529979337,F2,u
2.0,3.0,0.0,0.0,0.7630741270004364,F3,u
2.0,3.0,0.0,1.0,0.7853052979990025,F3,u
2.0,2.0,0.0,1.0,0.6810560090016224,F2,u
