subj_idx,flashpres,beeppres,response,rt,stimName,type
1.0,0.0,3.0,1.0,0.6039172539999527,B3,u
1.0,0.0,2.0,1.0,0.5773755079999319,B2,u
1.0,0.0,2.0,1.0,1.758256290999725,B2,u
1.0,0.0,2.0,1.0,0.6883539599998585,B2,u
1.0,0.0,3.0,1.0,0.7349567090000164,B3,u
1.0,0.0,3.0,1.0,0.6430605489999834,B3,u
1.0,0.0,3.0,1.0,0.6370662670001366,B3,u
1.0,0.0,3.0,1.0,0.6704533039996932,B3,u
2.0,0.0,2.0,1.0,1.9320916249998845,B2,u
2.0,0.0,3.0,1.0,0.9430461640004069,B3,u
2.0,0.0,2.0,1.0,0.786185271001159,B2,u
2.0,0.0,3.0,0.0,0.4636054239999794,B3,u
2.0,0.0,2.0,1.0,0.4875650680005492,B2,u
2.0,0.0,3.0,1.0,0.8322272099976544,B3,u
2.0,0.0,3.0,1.0,0.5364909039999475,B3,u
2.0,0.0,2.0,1.0,0.6870543179975357,B2,u
2.0,0.0,3.0,1.0,1.1210386279999511,B3,u
2.0,0.0,3.0,0.0,0.8623416760019609,B3,u
2.0,0.0,2.0,1.0,0.9144702409976162,B2,u
2.0,0.0,2.0,1.0,0.7151311689995055,B2,u
2.0,0.0,3.0,1.0,0.7490479059997597,B3,u
2.0,0.0,3.0,1.0,2.663170813000761,B3,u
2.0,0.0,2.0,1.0,0.459676741000294,B2,u
2.0,0.0,2.0,1.0,1.7590179660001013,B2,u
2.0,0.0,2.0,1.0,0.7466699079996033,B2,u
2.0,0.0,3.0,1.0,1.0382796789999702,B3,u
2.0,0.0,2.0,1.0,0.8699315039993962,B2,u
2.0,0.0,2.0,1.0,0.6879610340001818,B2,u
2.0,0.0,3.0,1.0,1.756961647002754,B3,u
2.0,0.0,3.0,1.0,0.8315399489983974,B3,u
2.0,0.0,3.0,1.0,0.8393746440015093,B3,u
2.0,0.0,3.0,1.0,0.5167882980022114,B3,u
2.0,0.0,2.0,1.0,0.6192153569973016,B2,u
2.0,0.0,2.0,1.0,0.9605819669995981,B2,u
2.0,0.0,3.0,0.0,0.48113720800029114,B3,u
2.0,0.0,3.0,0.0,1.0000013589997252,B3,u
2.0,0.0,3.0,0.0,1.0324627539994253,B3,u
2.0,0.0,2.0,1.0,0.5872828210012813,B2,u
2.0,0.0,3.0,1.0,1.8150929629991879,B3,u
2.0,0.0,2.0,1.0,1.7766835570000694,B2,u
2.0,0.0,3.0,1.0,0.6153611129993806,B3,u
2.0,0.0,3.0,0.0,0.9317876200002502,B3,u
2.0,0.0,3.0,1.0,0.501461253999878,B3,u
2.0,0.0,3.0,1.0,0.5279721309998422,B3,u
2.0,0.0,2.0,1.0,0.6099002779992588,B2,u
2.0,0.0,3.0,1.0,0.8187199589992815,B3,u
2.0,0.0,2.0,1.0,0.520527682001557,B2,u
2.0,0.0,3.0,1.0,0.499611339000694,B3,u
2.0,0.0,2.0,1.0,0.3607457609978155,B2,u
2.0,0.0,3.0,1.0,0.4972798149974551,B3,u
2.0,0.0,2.0,1.0,0.8613675530032197,B2,u
2.0,0.0,2.0,1.0,1.2096511320014542,B2,u
2.0,0.0,2.0,1.0,0.537304760000552,B2,u
2.0,0.0,2.0,1.0,0.43075797500205226,B2,u
2.0,0.0,3.0,1.0,1.9487360130005982,B3,u
2.0,0.0,3.0,0.0,1.7670610300010594,B3,u
2.0,0.0,3.0,1.0,0.6719501339975977,B3,u
2.0,0.0,3.0,1.0,1.0816287380002905,B3,u
2.0,0.0,2.0,1.0,0.4772684500021569,B2,u
2.0,0.0,3.0,1.0,0.9250320819992339,B3,u
2.0,0.0,2.0,1.0,4.002192667998315,B2,u
2.0,0.0,3.0,1.0,0.7092837079981109,B3,u
2.0,0.0,2.0,1.0,1.2821149980009068,B2,u
2.0,0.0,3.0,1.0,1.1897311659995466,B3,u
2.0,0.0,2.0,1.0,0.49193049899986363,B2,u
2.0,0.0,3.0,1.0,0.9862078589976591,B3,u
2.0,0.0,2.0,1.0,1.2305932890012627,B2,u
2.0,0.0,3.0,1.0,0.5137037719978252,B3,u
2.0,0.0,2.0,1.0,0.7781596380009432,B2,u
2.0,0.0,3.0,1.0,0.3612734449998243,B3,u
2.0,0.0,2.0,1.0,0.7350090840009216,B2,u
2.0,0.0,3.0,1.0,0.326117599997815,B3,u
2.0,0.0,3.0,1.0,0.3683741099994222,B3,u
2.0,0.0,2.0,1.0,0.6535355890009669,B2,u
2.0,0.0,3.0,1.0,0.5196084839990363,B3,u
2.0,0.0,3.0,1.0,0.4715660139991087,B3,u
